Quality Metrics for "2021-07-23 13-40-47.mp4":

Detected frame errors:
Frame 1 occurred 0 times.
Frame 2 occurred 0 times.
Frame 3 occurred 0 times.
Frame 4 occurred 0 times.
Frame 5 occurred 0 times.
Frame 6 occurred 0 times.
Frame 7 occurred 0 times.
Frame 8 occurred 0 times.
Frame 9 occurred 0 times.
Frame 10 occurred 0 times.
Frame 11 occurred 0 times.
Frame 12 occurred 0 times.
Frame 13 occurred 0 times.
Frame 14 occurred 0 times.
Frame 15 occurred 0 times.
Frame 16 occurred 0 times.
Frame 17 occurred 0 times.
Frame 18 occurred 0 times.
Frame 19 occurred 0 times.
Frame 20 occurred 0 times.
Frame 21 occurred 0 times.
Frame 22 occurred 0 times.
Frame 23 occurred 0 times.
Frame 24 occurred 0 times.
Frame 25 occurred 61 times.
Frame 28 occurred 1 times.
Frame 67 occurred 3 times.
Frame 68 occurred 1 times.
Frame 103 occurred 3 times.
Frame 104 occurred 1 times.
Frame 118 occurred 3 times.
Frame 120 occurred 1 times.
Frame 121 occurred 3 times.
Frame 122 occurred 1 times.
Frame 143 occurred 3 times.
Frame 144 occurred 1 times.
Frame 172 occurred 3 times.
Frame 173 occurred 1 times.
Frame 175 occurred 3 times.
Frame 176 occurred 1 times.
Frame 178 occurred 3 times.
Frame 179 occurred 1 times.
Frame 187 occurred 3 times.
Frame 188 occurred 1 times.
Frame 199 occurred 3 times.
Frame 200 occurred 1 times.
Frame 242 occurred 3 times.
Frame 243 occurred 1 times.
Frame 271 occurred 3 times.
Frame 272 occurred 1 times.
Frame 283 occurred 3 times.
Frame 284 occurred 1 times.
Frame 295 occurred 3 times.
Frame 296 occurred 1 times.
Frame 307 occurred 3 times.
Frame 308 occurred 1 times.
Frame 319 occurred 3 times.
Frame 320 occurred 1 times.
Frame 331 occurred 3 times.
Frame 332 occurred 1 times.
Frame 355 occurred 3 times.
Frame 356 occurred 1 times.
Frame 370 occurred 3 times.
Frame 371 occurred 1 times.
Frame 373 occurred 3 times.
Frame 374 occurred 1 times.
Frame 390 occurred 3 times.
Frame 391 occurred 1 times.
Frame 403 occurred 3 times.
Frame 404 occurred 1 times.
Frame 421 occurred 3 times.
Frame 422 occurred 1 times.
Frame 439 occurred 3 times.
Frame 440 occurred 1 times.
Frame 451 occurred 3 times.
Frame 452 occurred 1 times.
Frame 487 occurred 3 times.
Frame 488 occurred 1 times.
Frame 499 occurred 3 times.
Frame 500 occurred 1 times.
Frame 511 occurred 3 times.
Frame 512 occurred 1 times.
Frame 535 occurred 3 times.
Frame 536 occurred 1 times.
Frame 553 occurred 3 times.
Frame 554 occurred 1 times.
Frame 619 occurred 3 times.
Frame 620 occurred 1 times.
Frame 628 occurred 3 times.
Frame 629 occurred 1 times.
Frame 631 occurred 3 times.
Frame 632 occurred 1 times.
Frame 643 occurred 3 times.
Frame 644 occurred 1 times.
Frame 655 occurred 3 times.
Frame 656 occurred 1 times.
Frame 667 occurred 3 times.
Frame 668 occurred 1 times.
Frame 673 occurred 3 times.
Frame 674 occurred 1 times.
Frame 679 occurred 3 times.
Frame 680 occurred 1 times.
Frame 682 occurred 3 times.
Frame 683 occurred 1 times.
Frame 685 occurred 3 times.
Frame 686 occurred 1 times.
Frame 727 occurred 3 times.
Frame 728 occurred 1 times.
Frame 739 occurred 3 times.
Frame 740 occurred 1 times.
Frame 751 occurred 3 times.
Frame 752 occurred 1 times.
Frame 763 occurred 3 times.
Frame 764 occurred 1 times.
Frame 775 occurred 3 times.
Frame 776 occurred 1 times.
Frame 817 occurred 3 times.
Frame 818 occurred 1 times.
Frame 820 occurred 3 times.
Frame 821 occurred 1 times.
Frame 823 occurred 3 times.
Frame 824 occurred 1 times.
Frame 847 occurred 3 times.
Frame 848 occurred 1 times.
Frame 859 occurred 3 times.
Frame 860 occurred 1 times.
Frame 871 occurred 3 times.
Frame 872 occurred 1 times.
Frame 880 occurred 3 times.
Frame 881 occurred 1 times.
Frame 883 occurred 3 times.
Frame 884 occurred 1 times.
Frame 895 occurred 3 times.
Frame 896 occurred 1 times.
Frame 907 occurred 3 times.
Frame 908 occurred 1 times.
Frame 967 occurred 3 times.
Frame 968 occurred 1 times.
Frame 979 occurred 3 times.
Frame 980 occurred 1 times.
Frame 1027 occurred 3 times.
Frame 1028 occurred 1 times.
Frame 1030 occurred 3 times.
Frame 1031 occurred 1 times.
Frame 1039 occurred 3 times.
Frame 1040 occurred 1 times.
Frame 1051 occurred 3 times.
Frame 1052 occurred 1 times.
Frame 1063 occurred 3 times.
Frame 1064 occurred 1 times.
Frame 1075 occurred 3 times.
Frame 1076 occurred 1 times.
Frame 1099 occurred 3 times.
Frame 1100 occurred 1 times.
Frame 1111 occurred 3 times.
Frame 1112 occurred 1 times.
Frame 1123 occurred 3 times.
Frame 1124 occurred 1 times.
Frame 1135 occurred 3 times.
Frame 1136 occurred 1 times.
Frame 1156 occurred 3 times.
Frame 1157 occurred 1 times.
Frame 1159 occurred 3 times.
Frame 1160 occurred 1 times.
Frame 1171 occurred 3 times.
Frame 1172 occurred 1 times.
Frame 1180 occurred 3 times.
Frame 1181 occurred 1 times.
Frame 1207 occurred 3 times.
Frame 1208 occurred 1 times.
Frame 1219 occurred 3 times.
Frame 1220 occurred 1 times.
Frame 1231 occurred 3 times.
Frame 1232 occurred 1 times.
Frame 1234 occurred 3 times.
Frame 1235 occurred 1 times.
Frame 1237 occurred 3 times.
Frame 1238 occurred 1 times.
Frame 1240 occurred 3 times.
Frame 1241 occurred 1 times.
Frame 1243 occurred 3 times.
Frame 1244 occurred 1 times.
Frame 1246 occurred 3 times.
Frame 1247 occurred 1 times.
Frame 1275 occurred 3 times.
Frame 1276 occurred 1 times.
Frame 1296 occurred 3 times.
Frame 1297 occurred 1 times.
Frame 1302 occurred 3 times.
Frame 1304 occurred 1 times.
