Detected frames in file "D:/Captured Video\2021-09-22 13-09-45.mp4":
Frame 1 occurred 1 times.
Frame 2 occurred 1 times.
Frame 3 occurred 1 times.
Frame 4 occurred 1 times.
Frame 5 occurred 1 times.
Frame 6 occurred 1 times.
Frame 7 occurred 1 times.
Frame 8 occurred 1 times.
Frame 9 occurred 1 times.
Frame 10 occurred 1 times.
Frame 11 occurred 1 times.
Frame 12 occurred 1 times.
Frame 13 occurred 1 times.
Frame 14 occurred 1 times.
Frame 15 occurred 1 times.
Frame 16 occurred 1 times.
Frame 17 occurred 1 times.
Frame 18 occurred 1 times.
Frame 19 occurred 1 times.
Frame 20 occurred 1 times.
Frame 21 occurred 1 times.
Frame 22 occurred 1 times.
Frame 23 occurred 1 times.
Frame 24 occurred 1 times.
Frame 25 occurred 1 times.
Frame 26 occurred 1 times.
Frame 27 occurred 1 times.
Frame 28 occurred 1 times.
Frame 29 occurred 1 times.
Frame 30 occurred 1 times.
Frame 31 occurred 1 times.
Frame 32 occurred 1 times.
Frame 33 occurred 1 times.
Frame 34 occurred 1 times.
Frame 35 occurred 1 times.
Frame 36 occurred 1 times.
Frame 37 occurred 1 times.
Frame 38 occurred 1 times.
Frame 39 occurred 1 times.
Frame 40 occurred 1 times.
Frame 41 occurred 1 times.
Frame 42 occurred 1 times.
Frame 43 occurred 1 times.
Frame 44 occurred 1 times.
Frame 45 occurred 1 times.
Frame 46 occurred 1 times.
Frame 47 occurred 1 times.
Frame 48 occurred 1 times.
Frame 49 occurred 1 times.
Frame 50 occurred 1 times.
Frame 51 occurred 1 times.
Frame 52 occurred 1 times.
Frame 53 occurred 1 times.
Frame 54 occurred 1 times.
Frame 55 occurred 1 times.
Frame 56 occurred 1 times.
Frame 57 occurred 1 times.
Frame 58 occurred 1 times.
Frame 59 occurred 1 times.
Frame 60 occurred 1 times.
Frame 61 occurred 1 times.
Frame 62 occurred 1 times.
Frame 63 occurred 1 times.
Frame 64 occurred 1 times.
Frame 65 occurred 1 times.
Frame 66 occurred 1 times.
Frame 67 occurred 1 times.
Frame 68 occurred 1 times.
Frame 69 occurred 1 times.
Frame 70 occurred 1 times.
Frame 71 occurred 1 times.
Frame 72 occurred 1 times.
Frame 73 occurred 1 times.
Frame 74 occurred 1 times.
Frame 75 occurred 1 times.
Frame 76 occurred 1 times.
Frame 77 occurred 1 times.
Frame 78 occurred 1 times.
Frame 79 occurred 1 times.
Frame 80 occurred 1 times.
Frame 81 occurred 1 times.
Frame 82 occurred 1 times.
Frame 83 occurred 1 times.
Frame 84 occurred 1 times.
Frame 85 occurred 1 times.
Frame 86 occurred 1 times.
Frame 87 occurred 1 times.
Frame 88 occurred 1 times.
Frame 89 occurred 1 times.
Frame 90 occurred 1 times.
Frame 91 occurred 1 times.
Frame 92 occurred 1 times.
Frame 93 occurred 1 times.
Frame 94 occurred 1 times.
Frame 95 occurred 1 times.
Frame 96 occurred 1 times.
Frame 97 occurred 1 times.
Frame 98 occurred 1 times.
Frame 99 occurred 1 times.
Frame 100 occurred 1 times.
Frame 101 occurred 1 times.
Frame 102 occurred 1 times.
Frame 103 occurred 1 times.
Frame 104 occurred 1 times.
Frame 105 occurred 1 times.
Frame 106 occurred 1 times.
Frame 107 occurred 1 times.
Frame 108 occurred 1 times.
Frame 109 occurred 1 times.
Frame 110 occurred 1 times.
Frame 111 occurred 1 times.
Frame 112 occurred 1 times.
Frame 113 occurred 1 times.
Frame 114 occurred 1 times.
Frame 115 occurred 1 times.
Frame 116 occurred 1 times.
Frame 117 occurred 1 times.
Frame 118 occurred 1 times.
Frame 119 occurred 1 times.
Frame 120 occurred 1 times.
Frame 121 occurred 1 times.
Frame 122 occurred 1 times.
Frame 123 occurred 1 times.
Frame 124 occurred 1 times.
Frame 125 occurred 1 times.
Frame 126 occurred 1 times.
Frame 127 occurred 1 times.
Frame 128 occurred 1 times.
Frame 129 occurred 1 times.
Frame 130 occurred 1 times.
Frame 131 occurred 1 times.
Frame 132 occurred 1 times.
Frame 133 occurred 1 times.
Frame 134 occurred 1 times.
Frame 135 occurred 1 times.
Frame 136 occurred 1 times.
Frame 137 occurred 1 times.
Frame 138 occurred 1 times.
Frame 139 occurred 1 times.
Frame 140 occurred 1 times.
Frame 141 occurred 1 times.
Frame 142 occurred 1 times.
Frame 143 occurred 1 times.
Frame 144 occurred 1 times.
Frame 145 occurred 1 times.
Frame 146 occurred 1 times.
Frame 147 occurred 1 times.
Frame 148 occurred 1 times.
Frame 149 occurred 1 times.
Frame 150 occurred 1 times.
Frame 151 occurred 1 times.
Frame 152 occurred 1 times.
Frame 153 occurred 1 times.
Frame 154 occurred 1 times.
Frame 155 occurred 1 times.
Frame 156 occurred 1 times.
Frame 157 occurred 1 times.
Frame 158 occurred 1 times.
Frame 159 occurred 1 times.
Frame 160 occurred 1 times.
Frame 161 occurred 1 times.
Frame 162 occurred 1 times.
Frame 163 occurred 1 times.
Frame 164 occurred 1 times.
Frame 165 occurred 1 times.
Frame 166 occurred 1 times.
Frame 167 occurred 1 times.
Frame 168 occurred 1 times.
Frame 169 occurred 1 times.
Frame 170 occurred 1 times.
Frame 171 occurred 1 times.
Frame 172 occurred 1 times.
Frame 173 occurred 1 times.
Frame 174 occurred 1 times.
Frame 175 occurred 1 times.
Frame 176 occurred 1 times.
Frame 177 occurred 1 times.
Frame 178 occurred 1 times.
Frame 179 occurred 1 times.
Frame 180 occurred 1 times.
Frame 181 occurred 1 times.
Frame 182 occurred 1 times.
Frame 183 occurred 1 times.
Frame 184 occurred 1 times.
Frame 185 occurred 1 times.
Frame 186 occurred 1 times.
Frame 187 occurred 1 times.
Frame 188 occurred 1 times.
Frame 189 occurred 1 times.
Frame 190 occurred 1 times.
Frame 191 occurred 1 times.
Frame 192 occurred 1 times.
Frame 193 occurred 1 times.
Frame 194 occurred 1 times.
Frame 195 occurred 1 times.
Frame 196 occurred 1 times.
Frame 197 occurred 1 times.
Frame 198 occurred 1 times.
Frame 199 occurred 1 times.
Frame 200 occurred 1 times.
Frame 201 occurred 1 times.
Frame 202 occurred 1 times.
Frame 203 occurred 1 times.
Frame 204 occurred 1 times.
Frame 205 occurred 1 times.
Frame 206 occurred 1 times.
Frame 207 occurred 1 times.
Frame 208 occurred 1 times.
Frame 209 occurred 1 times.
Frame 210 occurred 1 times.
Frame 211 occurred 1 times.
Frame 212 occurred 1 times.
Frame 213 occurred 1 times.
Frame 214 occurred 1 times.
Frame 215 occurred 1 times.
Frame 216 occurred 1 times.
Frame 217 occurred 1 times.
Frame 218 occurred 1 times.
Frame 219 occurred 1 times.
Frame 220 occurred 1 times.
Frame 221 occurred 1 times.
Frame 222 occurred 1 times.
Frame 223 occurred 1 times.
Frame 224 occurred 1 times.
Frame 225 occurred 1 times.
Frame 226 occurred 1 times.
Frame 227 occurred 1 times.
Frame 228 occurred 1 times.
Frame 229 occurred 1 times.
Frame 230 occurred 1 times.
Frame 231 occurred 1 times.
Frame 232 occurred 1 times.
Frame 233 occurred 1 times.
Frame 234 occurred 1 times.
Frame 235 occurred 1 times.
Frame 236 occurred 1 times.
Frame 237 occurred 1 times.
Frame 238 occurred 1 times.
Frame 239 occurred 1 times.
Frame 240 occurred 1 times.
Frame 241 occurred 1 times.
Frame 242 occurred 1 times.
Frame 243 occurred 1 times.
Frame 244 occurred 1 times.
Frame 245 occurred 1 times.
Frame 246 occurred 1 times.
Frame 247 occurred 1 times.
Frame 248 occurred 1 times.
Frame 249 occurred 1 times.
Frame 250 occurred 1 times.
Frame 251 occurred 1 times.
Frame 252 occurred 1 times.
Frame 253 occurred 1 times.
Frame 254 occurred 1 times.
Frame 255 occurred 1 times.
Frame 256 occurred 1 times.
Frame 257 occurred 1 times.
Frame 258 occurred 1 times.
Frame 259 occurred 1 times.
Frame 260 occurred 1 times.
Frame 261 occurred 1 times.
Frame 262 occurred 1 times.
Frame 263 occurred 1 times.
Frame 264 occurred 1 times.
Frame 265 occurred 1 times.
Frame 266 occurred 1 times.
Frame 267 occurred 1 times.
Frame 268 occurred 1 times.
Frame 269 occurred 1 times.
Frame 270 occurred 1 times.
Frame 271 occurred 1 times.
Frame 272 occurred 1 times.
Frame 273 occurred 1 times.
Frame 274 occurred 1 times.
Frame 275 occurred 1 times.
Frame 276 occurred 1 times.
Frame 277 occurred 1 times.
Frame 278 occurred 1 times.
Frame 279 occurred 1 times.
Frame 280 occurred 1 times.
Frame 281 occurred 1 times.
Frame 282 occurred 1 times.
Frame 283 occurred 1 times.
Frame 284 occurred 1 times.
Frame 285 occurred 1 times.
Frame 286 occurred 1 times.
Frame 287 occurred 1 times.
Frame 288 occurred 1 times.
Frame 289 occurred 1 times.
Frame 290 occurred 1 times.
Frame 291 occurred 1 times.
Frame 292 occurred 1 times.
Frame 293 occurred 1 times.
Frame 294 occurred 1 times.
Frame 295 occurred 1 times.
Frame 296 occurred 1 times.
Frame 297 occurred 1 times.
Frame 298 occurred 1 times.
Frame 299 occurred 1 times.
Frame 300 occurred 1 times.
Frame 301 occurred 1 times.
Frame 302 occurred 1 times.
Frame 303 occurred 1 times.
Frame 304 occurred 1 times.
Frame 305 occurred 1 times.
Frame 306 occurred 1 times.
Frame 307 occurred 1 times.
Frame 308 occurred 1 times.
Frame 309 occurred 1 times.
Frame 310 occurred 1 times.
Frame 311 occurred 1 times.
Frame 312 occurred 1 times.
Frame 313 occurred 1 times.
Frame 314 occurred 1 times.
Frame 315 occurred 1 times.
Frame 316 occurred 1 times.
Frame 317 occurred 1 times.
Frame 318 occurred 1 times.
Frame 319 occurred 1 times.
Frame 320 occurred 1 times.
Frame 321 occurred 1 times.
Frame 322 occurred 1 times.
Frame 323 occurred 1 times.
Frame 324 occurred 1 times.
Frame 325 occurred 1 times.
Frame 326 occurred 1 times.
Frame 327 occurred 1 times.
Frame 328 occurred 1 times.
Frame 329 occurred 1 times.
Frame 330 occurred 1 times.
Frame 331 occurred 1 times.
Frame 332 occurred 1 times.
Frame 333 occurred 1 times.
Frame 334 occurred 1 times.
Frame 335 occurred 1 times.
Frame 336 occurred 1 times.
Frame 337 occurred 1 times.
Frame 338 occurred 1 times.
Frame 339 occurred 1 times.
Frame 340 occurred 1 times.
Frame 341 occurred 1 times.
Frame 342 occurred 1 times.
Frame 343 occurred 1 times.
Frame 344 occurred 1 times.
Frame 345 occurred 1 times.
Frame 346 occurred 1 times.
Frame 347 occurred 1 times.
Frame 348 occurred 1 times.
Frame 349 occurred 1 times.
Frame 350 occurred 1 times.
Frame 351 occurred 1 times.
Frame 352 occurred 1 times.
Frame 353 occurred 1 times.
Frame 354 occurred 1 times.
Frame 355 occurred 1 times.
Frame 356 occurred 1 times.
Frame 357 occurred 1 times.
Frame 358 occurred 1 times.
Frame 359 occurred 1 times.
Frame 360 occurred 1 times.
Frame 361 occurred 1 times.
Frame 362 occurred 1 times.
Frame 363 occurred 1 times.
Frame 364 occurred 1 times.
Frame 365 occurred 1 times.
Frame 366 occurred 1 times.
Frame 367 occurred 1 times.
